Simulation.Economies.Economy(APAC).NominalAndExchangeRate.ExchangeRate.dZ,Simulation.Economies.Economy(APAC).NominalAndExchangeRate.ExchangeRate.VolatilityModel.VolatilityProcess.dZ,Simulation.Economies.Economy(EM).NominalAndExchangeRate.ExchangeRate.dZ,Simulation.Economies.Economy(EM).NominalAndExchangeRate.ExchangeRate.VolatilityModel.VolatilityProcess.dZ,Simulation.Economies.Economy(EUR).NominalAndExchangeRate.ExchangeRate.dZ,Simulation.Economies.Economy(EUR).NominalAndExchangeRate.ExchangeRate.VolatilityModel.VolatilityProcess.dZ,Simulation.Economies.Economy(JPY).NominalAndExchangeRate.ExchangeRate.dZ,Simulation.Economies.Economy(JPY).NominalAndExchangeRate.ExchangeRate.VolatilityModel.VolatilityProcess.dZ,Simulation.Economies.Economy(USD).NominalAndExchangeRate.ExchangeRate.dZ,Simulation.Economies.Economy(USD).NominalAndExchangeRate.ExchangeRate.VolatilityModel.VolatilityProcess.dZ
1.0000000000,0.0900756000,0.4000000000,-0.0553728800,0.4000000000,0.0388035600,0.3000000000,0.2032254300,0.4000000000,0.1928109200
0.0900756000,1.0000000000,0.0360302400,-0.0049877454,0.0360302400,0.0034952539,0.0270226800,0.0183056525,0.0360302400,0.0173675593
0.4000000000,0.0360302400,1.0000000000,-0.1384322000,0.3000000000,0.0291026700,0.2000000000,0.1354836200,0.4000000000,0.1928109200
-0.0553728800,-0.0049877454,-0.1384322000,1.0000000000,-0.0415296600,-0.0040287466,-0.0276864400,-0.0187552956,-0.0553728800,-0.0266912398
0.4000000000,0.0360302400,0.3000000000,-0.0415296600,1.0000000000,0.0970089000,0.5000000000,0.3387090500,0.4000000000,0.1928109200
0.0388035600,0.0034952539,0.0291026700,-0.0040287466,0.0970089000,1.0000000000,0.0485044500,0.0328577924,0.0388035600,0.0187043753
0.3000000000,0.0270226800,0.2000000000,-0.0276864400,0.5000000000,0.0485044500,1.0000000000,0.6774181000,0.6000000000,0.2892163800
0.2032254300,0.0183056525,0.1354836200,-0.0187552956,0.3387090500,0.0328577924,0.6774181000,1.0000000000,0.4064508600,0.1959204106
0.4000000000,0.0360302400,0.4000000000,-0.0553728800,0.4000000000,0.0388035600,0.6000000000,0.4064508600,1.0000000000,0.4820273000
0.1928109200,0.0173675593,0.1928109200,-0.0266912398,0.1928109200,0.0187043753,0.2892163800,0.1959204106,0.4820273000,1.0000000000
